Station,Line,Day,Hour,Minute,Riders
Bathurst,Line 2,monday,0,0,382.475
Bathurst,Line 2,monday,1,0,191.2375
Bathurst,Line 2,monday,6,0,3365.78
Bathurst,Line 2,monday,7,0,5048.67
Bathurst,Line 2,monday,8,0,3365.78
Bathurst,Line 2,monday,9,0,1009.734
Bathurst,Line 2,monday,10,0,1009.734
Bathurst,Line 2,monday,11,0,1009.734
Bathurst,Line 2,monday,11,0,382.475
Bathurst,Line 2,monday,12,0,1009.734
Bathurst,Line 2,monday,13,0,1009.734
Bathurst,Line 2,monday,14,0,1009.734
Bathurst,Line 2,monday,15,0,2753.82
Bathurst,Line 2,monday,16,0,2753.82
Bathurst,Line 2,monday,17,0,2141.86
Bathurst,Line 2,monday,18,0,397.774
Bathurst,Line 2,monday,19,0,397.774
Bathurst,Line 2,monday,20,0,428.372
Bathurst,Line 2,monday,21,0,382.475
Bathurst,Line 2,monday,22,0,382.475
Bathurst,Line 2,monday,23,0,382.475
Bathurst,Line 2,monday,24,0,382.475
Bathurst,Line 2,sunday,0,0,764.95
Bathurst,Line 2,sunday,1,0,382.475
Bathurst,Line 2,sunday,8,0,2294.85
Bathurst,Line 2,sunday,9,0,2294.85
Bathurst,Line 2,sunday,10,0,2172.458
Bathurst,Line 2,sunday,11,0,2172.458
Bathurst,Line 2,sunday,11,0,764.95
Bathurst,Line 2,sunday,12,0,2172.458
Bathurst,Line 2,sunday,13,0,2172.458
Bathurst,Line 2,sunday,14,0,2172.458
Bathurst,Line 2,sunday,15,0,2172.458
Bathurst,Line 2,sunday,16,0,2172.458
Bathurst,Line 2,sunday,17,0,2172.458
Bathurst,Line 2,sunday,18,0,2548.8134
Bathurst,Line 2,sunday,19,0,2548.8134
Bathurst,Line 2,sunday,20,0,2548.8134
Bathurst,Line 2,sunday,21,0,764.95
Bathurst,Line 2,sunday,22,0,764.95
Bathurst,Line 2,sunday,23,0,764.95
Bathurst,Line 2,sunday,24,0,764.95
Bay,Line 2,monday,0,0,262.25
Bay,Line 2,monday,1,0,131.125
Bay,Line 2,monday,6,0,2307.8
Bay,Line 2,monday,7,0,3461.7
Bay,Line 2,monday,8,0,2307.8
Bay,Line 2,monday,9,0,692.34
Bay,Line 2,monday,10,0,692.34
Bay,Line 2,monday,11,0,692.34
Bay,Line 2,monday,11,0,262.25
Bay,Line 2,monday,12,0,692.34
Bay,Line 2,monday,13,0,692.34
Bay,Line 2,monday,14,0,692.34
Bay,Line 2,monday,15,0,1888.2
Bay,Line 2,monday,16,0,1888.2
Bay,Line 2,monday,17,0,1468.6
Bay,Line 2,monday,18,0,272.74
Bay,Line 2,monday,19,0,272.74
Bay,Line 2,monday,20,0,293.72
Bay,Line 2,monday,21,0,262.25
Bay,Line 2,monday,22,0,262.25
Bay,Line 2,monday,23,0,262.25
Bay,Line 2,monday,24,0,262.25
Bay,Line 2,sunday,0,0,524.5
Bay,Line 2,sunday,1,0,262.25
Bay,Line 2,sunday,8,0,1573.5
Bay,Line 2,sunday,9,0,1573.5
Bay,Line 2,sunday,10,0,1489.58
Bay,Line 2,sunday,11,0,1489.58
Bay,Line 2,sunday,11,0,524.5
Bay,Line 2,sunday,12,0,1489.58
Bay,Line 2,sunday,13,0,1489.58
Bay,Line 2,sunday,14,0,1489.58
Bay,Line 2,sunday,15,0,1489.58
Bay,Line 2,sunday,16,0,1489.58
Bay,Line 2,sunday,17,0,1489.58
Bay,Line 2,sunday,18,0,1747.634
Bay,Line 2,sunday,19,0,1747.634
Bay,Line 2,sunday,20,0,1747.634
Bay,Line 2,sunday,21,0,524.5
Bay,Line 2,sunday,22,0,524.5
Bay,Line 2,sunday,23,0,524.5
Bay,Line 2,sunday,24,0,524.5
Bayview,Line 4,monday,0,0,77.5625
Bayview,Line 4,monday,1,0,38.78125
Bayview,Line 4,monday,6,0,682.55
Bayview,Line 4,monday,7,0,1023.825
Bayview,Line 4,monday,8,0,682.55
Bayview,Line 4,monday,9,0,204.765
Bayview,Line 4,monday,10,0,204.765
Bayview,Line 4,monday,11,0,204.765
Bayview,Line 4,monday,11,0,77.5625
Bayview,Line 4,monday,12,0,204.765
Bayview,Line 4,monday,13,0,204.765
Bayview,Line 4,monday,14,0,204.765
Bayview,Line 4,monday,15,0,558.45
Bayview,Line 4,monday,16,0,558.45
Bayview,Line 4,monday,17,0,434.35
Bayview,Line 4,monday,18,0,80.665
Bayview,Line 4,monday,19,0,80.665
Bayview,Line 4,monday,20,0,86.87
Bayview,Line 4,monday,21,0,77.5625
Bayview,Line 4,monday,22,0,77.5625
Bayview,Line 4,monday,23,0,77.5625
Bayview,Line 4,monday,24,0,77.5625
Bayview,Line 4,sunday,0,0,155.125
Bayview,Line 4,sunday,1,0,77.5625
Bayview,Line 4,sunday,8,0,465.375
Bayview,Line 4,sunday,9,0,465.375
Bayview,Line 4,sunday,10,0,440.555
Bayview,Line 4,sunday,11,0,440.555
Bayview,Line 4,sunday,11,0,155.125
Bayview,Line 4,sunday,12,0,440.555
Bayview,Line 4,sunday,13,0,440.555
Bayview,Line 4,sunday,14,0,440.555
Bayview,Line 4,sunday,15,0,440.555
Bayview,Line 4,sunday,16,0,440.555
Bayview,Line 4,sunday,17,0,440.555
Bayview,Line 4,sunday,18,0,516.8765
Bayview,Line 4,sunday,19,0,516.8765
Bayview,Line 4,sunday,20,0,516.8765
Bayview,Line 4,sunday,21,0,155.125
Bayview,Line 4,sunday,22,0,155.125
Bayview,Line 4,sunday,23,0,155.125
Bayview,Line 4,sunday,24,0,155.125
Bessarion,Line 4,monday,0,0,39.75
Bessarion,Line 4,monday,1,0,19.875
Bessarion,Line 4,monday,6,0,349.8
Bessarion,Line 4,monday,7,0,524.7
Bessarion,Line 4,monday,8,0,349.8
Bessarion,Line 4,monday,9,0,104.94
Bessarion,Line 4,monday,10,0,104.94
Bessarion,Line 4,monday,11,0,104.94
Bessarion,Line 4,monday,11,0,39.75
Bessarion,Line 4,monday,12,0,104.94
Bessarion,Line 4,monday,13,0,104.94
Bessarion,Line 4,monday,14,0,104.94
Bessarion,Line 4,monday,15,0,286.2
Bessarion,Line 4,monday,16,0,286.2
Bessarion,Line 4,monday,17,0,222.6
Bessarion,Line 4,monday,18,0,41.34
Bessarion,Line 4,monday,19,0,41.34
Bessarion,Line 4,monday,20,0,44.52
Bessarion,Line 4,monday,21,0,39.75
Bessarion,Line 4,monday,22,0,39.75
Bessarion,Line 4,monday,23,0,39.75
Bessarion,Line 4,monday,24,0,39.75
Bessarion,Line 4,sunday,0,0,79.5
Bessarion,Line 4,sunday,1,0,39.75
Bessarion,Line 4,sunday,8,0,238.5
Bessarion,Line 4,sunday,9,0,238.5
Bessarion,Line 4,sunday,10,0,225.78
Bessarion,Line 4,sunday,11,0,225.78
Bessarion,Line 4,sunday,11,0,79.5
Bessarion,Line 4,sunday,12,0,225.78
Bessarion,Line 4,sunday,13,0,225.78
Bessarion,Line 4,sunday,14,0,225.78
Bessarion,Line 4,sunday,15,0,225.78
Bessarion,Line 4,sunday,16,0,225.78
Bessarion,Line 4,sunday,17,0,225.78
Bessarion,Line 4,sunday,18,0,264.894
Bessarion,Line 4,sunday,19,0,264.894
Bessarion,Line 4,sunday,20,0,264.894
Bessarion,Line 4,sunday,21,0,79.5
Bessarion,Line 4,sunday,22,0,79.5
Bessarion,Line 4,sunday,23,0,79.5
