Station,Line,Day,Hour,Minute,Riders
Bathurst,Line 2,monday,0,0,127.7259033
Bathurst,Line 2,monday,1,0,102.1807227
Bathurst,Line 2,monday,6,0,383.17771
Bathurst,Line 2,monday,7,0,638.6295166
Bathurst,Line 2,monday,8,0,894.0813233
Bathurst,Line 2,monday,9,0,1149.53313
Bathurst,Line 2,monday,10,0,1277.259033
Bathurst,Line 2,monday,11,0,1404.984937
Bathurst,Line 2,monday,11,0,1404.984937
Bathurst,Line 2,monday,12,0,1532.71084
Bathurst,Line 2,monday,13,0,1660.436743
Bathurst,Line 2,monday,14,0,1788.162647
Bathurst,Line 2,monday,15,0,2299.06626
Bathurst,Line 2,monday,16,0,2809.969873
Bathurst,Line 2,monday,17,0,3065.42168
Bathurst,Line 2,monday,18,0,2809.969873
Bathurst,Line 2,monday,19,0,2299.06626
Bathurst,Line 2,monday,20,0,1788.162647
Bathurst,Line 2,monday,21,0,1277.259033
Bathurst,Line 2,monday,22,0,766.3554199
Bathurst,Line 2,monday,23,0,510.9036133
Bathurst,Line 2,monday,24,0,255.4518066
Bathurst,Line 2,sunday,0,0,530.0839724
Bathurst,Line 2,sunday,1,0,397.5629793
Bathurst,Line 2,sunday,8,0,1325.209931
Bathurst,Line 2,sunday,9,0,1590.251917
Bathurst,Line 2,sunday,10,0,1855.293903
Bathurst,Line 2,sunday,11,0,1987.814897
Bathurst,Line 2,sunday,11,0,1987.814897
Bathurst,Line 2,sunday,12,0,2120.33589
Bathurst,Line 2,sunday,13,0,2252.856883
Bathurst,Line 2,sunday,14,0,2385.377876
Bathurst,Line 2,sunday,15,0,2517.898869
Bathurst,Line 2,sunday,16,0,2650.419862
Bathurst,Line 2,sunday,17,0,2650.419862
Bathurst,Line 2,sunday,18,0,2517.898869
Bathurst,Line 2,sunday,19,0,2385.377876
Bathurst,Line 2,sunday,20,0,2120.33589
Bathurst,Line 2,sunday,21,0,1855.293903
Bathurst,Line 2,sunday,22,0,1590.251917
Bathurst,Line 2,sunday,23,0,1192.688938
Bathurst,Line 2,sunday,24,0,662.6049655
Bay,Line 2,monday,0,0,87.57727472
Bay,Line 2,monday,1,0,70.06181977
Bay,Line 2,monday,6,0,262.7318241
Bay,Line 2,monday,7,0,437.8863736
Bay,Line 2,monday,8,0,613.040923
Bay,Line 2,monday,9,0,788.1954724
Bay,Line 2,monday,10,0,875.7727472
Bay,Line 2,monday,11,0,963.3500219
Bay,Line 2,monday,11,0,963.3500219
Bay,Line 2,monday,12,0,1050.927297
Bay,Line 2,monday,13,0,1138.504571
Bay,Line 2,monday,14,0,1226.081846
Bay,Line 2,monday,15,0,1576.390945
Bay,Line 2,monday,16,0,1926.700044
Bay,Line 2,monday,17,0,2101.854593
Bay,Line 2,monday,18,0,1926.700044
Bay,Line 2,monday,19,0,1576.390945
Bay,Line 2,monday,20,0,1226.081846
Bay,Line 2,monday,21,0,875.7727472
Bay,Line 2,monday,22,0,525.4636483
Bay,Line 2,monday,23,0,350.3090989
Bay,Line 2,monday,24,0,175.1545494
Bay,Line 2,sunday,0,0,363.4604138
Bay,Line 2,sunday,1,0,272.5953103
Bay,Line 2,sunday,8,0,908.6510345
Bay,Line 2,sunday,9,0,1090.381241
Bay,Line 2,sunday,10,0,1272.111448
Bay,Line 2,sunday,11,0,1362.976552
Bay,Line 2,sunday,11,0,1362.976552
Bay,Line 2,sunday,12,0,1453.841655
Bay,Line 2,sunday,13,0,1544.706759
Bay,Line 2,sunday,14,0,1635.571862
Bay,Line 2,sunday,15,0,1726.436966
Bay,Line 2,sunday,16,0,1817.302069
Bay,Line 2,sunday,17,0,1817.302069
Bay,Line 2,sunday,18,0,1726.436966
Bay,Line 2,sunday,19,0,1635.571862
Bay,Line 2,sunday,20,0,1453.841655
Bay,Line 2,sunday,21,0,1272.111448
Bay,Line 2,sunday,22,0,1090.381241
Bay,Line 2,sunday,23,0,817.785931
Bay,Line 2,sunday,24,0,454.3255172
Bayview,Line 4,monday,0,0,20.47060069
Bayview,Line 4,monday,1,0,15.35295052
Bayview,Line 4,monday,6,0,255.8825086
Bayview,Line 4,monday,7,0,460.5885156
Bayview,Line 4,monday,8,0,511.7650173
Bayview,Line 4,monday,9,0,358.2355121
Bayview,Line 4,monday,10,0,255.8825086
Bayview,Line 4,monday,11,0,204.7060069
Bayview,Line 4,monday,11,0,204.7060069
Bayview,Line 4,monday,12,0,230.2942578
Bayview,Line 4,monday,13,0,230.2942578
Bayview,Line 4,monday,14,0,255.8825086
Bayview,Line 4,monday,15,0,358.2355121
Bayview,Line 4,monday,16,0,511.7650173
Bayview,Line 4,monday,17,0,562.941519
Bayview,Line 4,monday,18,0,511.7650173
Bayview,Line 4,monday,19,0,409.4120138
Bayview,Line 4,monday,20,0,307.0590104
Bayview,Line 4,monday,21,0,204.7060069
Bayview,Line 4,monday,22,0,102.3530035
Bayview,Line 4,monday,23,0,51.17650173
Bayview,Line 4,monday,24,0,25.58825086
Bayview,Line 4,sunday,0,0,107.4962759
Bayview,Line 4,sunday,1,0,80.6222069
Bayview,Line 4,sunday,8,0,268.7406897
Bayview,Line 4,sunday,9,0,322.4888276
Bayview,Line 4,sunday,10,0,376.2369655
Bayview,Line 4,sunday,11,0,403.1110345
Bayview,Line 4,sunday,11,0,403.1110345
Bayview,Line 4,sunday,12,0,429.9851034
Bayview,Line 4,sunday,13,0,456.8591724
Bayview,Line 4,sunday,14,0,483.7332414
Bayview,Line 4,sunday,15,0,510.6073103
Bayview,Line 4,sunday,16,0,537.4813793
Bayview,Line 4,sunday,17,0,537.4813793
Bayview,Line 4,sunday,18,0,510.6073103
Bayview,Line 4,sunday,19,0,483.7332414
Bayview,Line 4,sunday,20,0,429.9851034
Bayview,Line 4,sunday,21,0,376.2369655
Bayview,Line 4,sunday,22,0,322.4888276
Bayview,Line 4,sunday,23,0,241.8666207
Bayview,Line 4,sunday,24,0,134.3703448
Bessarion,Line 4,monday,0,0,10.49097666
Bessarion,Line 4,monday,1,0,7.868232498
Bessarion,Line 4,monday,6,0,131.1372083
Bessarion,Line 4,monday,7,0,236.0469749
Bessarion,Line 4,monday,8,0,262.2744166
Bessarion,Line 4,monday,9,0,183.5920916
Bessarion,Line 4,monday,10,0,131.1372083
Bessarion,Line 4,monday,11,0,104.9097666
Bessarion,Line 4,monday,11,0,104.9097666
Bessarion,Line 4,monday,12,0,118.0234875
Bessarion,Line 4,monday,13,0,118.0234875
Bessarion,Line 4,monday,14,0,131.1372083
Bessarion,Line 4,monday,15,0,183.5920916
Bessarion,Line 4,monday,16,0,262.2744166
Bessarion,Line 4,monday,17,0,288.5018583
Bessarion,Line 4,monday,18,0,262.2744166
Bessarion,Line 4,monday,19,0,209.8195333
Bessarion,Line 4,monday,20,0,157.36465
Bessarion,Line 4,monday,21,0,104.9097666
Bessarion,Line 4,monday,22,0,52.45488332
Bessarion,Line 4,monday,23,0,26.22744166
Bessarion,Line 4,monday,24,0,13.11372083
Bessarion,Line 4,sunday,0,0,55.09075862
Bessarion,Line 4,sunday,1,0,41.31806897
Bessarion,Line 4,sunday,8,0,137.7268966
Bessarion,Line 4,sunday,9,0,165.2722759
Bessarion,Line 4,sunday,10,0,192.8176552
Bessarion,Line 4,sunday,11,0,206.5903448
Bessarion,Line 4,sunday,11,0,206.5903448
Bessarion,Line 4,sunday,12,0,220.3630345
Bessarion,Line 4,sunday,13,0,234.1357241
Bessarion,Line 4,sunday,14,0,247.9084138
Bessarion,Line 4,sunday,15,0,261.6811034
Bessarion,Line 4,sunday,16,0,275.4537931
Bessarion,Line 4,sunday,17,0,275.4537931
Bessarion,Line 4,sunday,18,0,261.6811034
Bessarion,Line 4,sunday,19,0,247.9084138
Bessarion,Line 4,sunday,20,0,220.3630345
Bessarion,Line 4,sunday,21,0,192.8176552
Bessarion,Line 4,sunday,22,0,165.2722759
Bessarion,Line 4,sunday,23,0,123.9542069
Bessarion,Line 4,sunday,24,0,68.86344828
Bloor-Yonge,Line 1,monday,0,0,1250.850065
Bloor-Yonge,Line 1,monday,1,0,625.4250324
Bloor-Yonge,Line 1,monday,6,0,6254.250324
Bloor-Yonge,Line 1,monday,7,0,15010.20078
Bloor-Yonge,Line 1,monday,8,0,18762.75097
Bloor-Yonge,Line 1,monday,9,0,10006.80052
Bloor-Yonge,Line 1,monday,10,0,6254.250324
Bloor-Yonge,Line 1,monday,11,0,5003.400259
Bloor-Yonge,Line 1,monday,11,0,5003.400259
Bloor-Yonge,Line 1,monday,12,0,6254.250324
Bloor-Yonge,Line 1,monday,13,0,5003.400259
Bloor-Yonge,Line 1,monday,14,0,6254.250324
Bloor-Yonge,Line 1,monday,15,0,7505.100389
Bloor-Yonge,Line 1,monday,16,0,10006.80052
Bloor-Yonge,Line 1,monday,17,0,18762.75097
Bloor-Yonge,Line 1,monday,18,0,15010.20078
Bloor-Yonge,Line 1,monday,19,0,7505.100389
Bloor-Yonge,Line 1,monday,20,0,3752.550195
Bloor-Yonge,Line 1,monday,21,0,2501.70013
Bloor-Yonge,Line 1,monday,22,0,1250.850065
Bloor-Yonge,Line 1,monday,23,0,625.4250324
Bloor-Yonge,Line 1,monday,24,0,382.1461801
Bloor-Yonge,Line 1,sunday,0,0,2713.704938
Bloor-Yonge,Line 1,sunday,1,0,2035.278703
Bloor-Yonge,Line 1,sunday,8,0,6784.262345
Bloor-Yonge,Line 1,sunday,9,0,8141.114814
Bloor-Yonge,Line 1,sunday,10,0,9497.967283
Bloor-Yonge,Line 1,sunday,11,0,10176.39352
Bloor-Yonge,Line 1,sunday,11,0,10176.39352
Bloor-Yonge,Line 1,sunday,12,0,10854.81975
Bloor-Yonge,Line 1,sunday,13,0,11533.24599
Bloor-Yonge,Line 1,sunday,14,0,12211.67222
Bloor-Yonge,Line 1,sunday,15,0,12890.09846
Bloor-Yonge,Line 1,sunday,16,0,13568.52469
Bloor-Yonge,Line 1,sunday,17,0,13568.52469
Bloor-Yonge,Line 1,sunday,18,0,12890.09846
Bloor-Yonge,Line 1,sunday,19,0,12211.67222
Bloor-Yonge,Line 1,sunday,20,0,10854.81975
Bloor-Yonge,Line 1,sunday,21,0,9497.967283
Bloor-Yonge,Line 1,sunday,22,0,8141.114814
Bloor-Yonge,Line 1,sunday,23,0,6105.83611
Bloor-Yonge,Line 1,sunday,24,0,3392.131172
Bloor-Yonge,Line 2,monday,0,0,507.3095221
Bloor-Yonge,Line 2,monday,1,0,405.8476177
Bloor-Yonge,Line 2,monday,6,0,1521.928566
Bloor-Yonge,Line 2,monday,7,0,2536.54761
Bloor-Yonge,Line 2,monday,8,0,3551.166655
Bloor-Yonge,Line 2,monday,9,0,4565.785699
Bloor-Yonge,Line 2,monday,10,0,5073.095221
Bloor-Yonge,Line 2,monday,11,0,5580.404743
Bloor-Yonge,Line 2,monday,11,0,5580.404743
Bloor-Yonge,Line 2,monday,12,0,6087.714265
Bloor-Yonge,Line 2,monday,13,0,6595.023787
Bloor-Yonge,Line 2,monday,14,0,7102.333309
Bloor-Yonge,Line 2,monday,15,0,9131.571398
Bloor-Yonge,Line 2,monday,16,0,11160.80949
Bloor-Yonge,Line 2,monday,17,0,12175.42853
Bloor-Yonge,Line 2,monday,18,0,11160.80949
Bloor-Yonge,Line 2,monday,19,0,9131.571398
Bloor-Yonge,Line 2,monday,20,0,7102.333309
